Donor Type,Donor Age,Donor State of Residence,All Donors - All Genders,All Donors - Male,All Donors - Female,All Donors - Unknown,Kidney - All Genders,Kidney - Male,Kidney - Female,Kidney - Unknown,Liver - All Genders,Liver - Male,Liver - Female,Liver - Unknown,Heart - All Genders,Heart - Male,Heart - Female,Heart - Unknown,Pancreas - All Genders,Pancreas - Male,Pancreas - Female,Pancreas - Unknown,Lung - All Genders,Lung - Male,Lung - Female,Lung - Unknown,Intestine - All Genders,Intestine - Male,Intestine - Female,Intestine - Unknown
,,State unassigned,1101,821,280,0,1039,777,262,0,834,626,208,0,654,524,130,0,363,286,77,0,218,166,52,0,8,3,5,0
,,Tennessee,1567,1089,478,0,1492,1041,451,0,1368,958,410,0,959,735,224,0,584,435,149,0,436,310,126,0,32,22,10,0
,,Texas,5211,3649,1562,0,4977,3496,1481,0,4436,3128,1308,0,3263,2471,792,0,1504,1140,364,0,1586,1107,479,0,34,24,10,0
,,Utah,593,391,202,0,565,373,192,0,503,345,158,0,316,233,83,0,206,147,59,0,133,87,46,0,1,0,1,0
,,Vermont,123,85,38,0,120,82,38,0,107,74,33,0,67,51,16,0,45,33,12,0,24,17,7,0,1,0,1,0
,,Virginia,1388,934,454,0,1330,897,433,0,1202,822,380,0,797,585,212,0,496,352,144,0,370,254,116,0,15,5,10,0
,,Washington,1062,744,318,0,1036,730,306,0,902,630,272,0,551,412,139,0,385,281,104,0,270,187,83,0,3,2,1,0
,,West Virginia,457,317,140,0,433,302,131,0,414,282,132,0,243,174,69,0,184,141,43,0,120,76,44,0,17,12,5,0
,,Wisconsin,1408,989,419,0,1355,958,397,0,1217,859,358,0,756,574,182,0,844,610,234,0,364,254,110,0,7,4,3,0
,,Wyoming,151,114,37,0,147,110,37,0,131,104,27,0,93,77,16,0,62,50,12,0,37,27,10,0,1,1,0,0
,35-49 Years,All Donor States of Residence,57545,32312,25233,0,53144,29686,23458,0,45397,25054,20343,0,19805,12096,7709,0,10231,5356,4875,0,10317,5128,5189,0,288,123,165,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alabama,903,512,391,0,837,474,363,0,719,389,330,0,236,150,86,0,78,43,35,0,125,67,58,0,2,0,2,0
,,Alaska,187,102,85,0,183,99,84,0,133,73,60,0,47,32,15,0,24,18,6,0,36,17,19,0,0,0,0,0
,,Arizona,946,548,398,0,905,524,381,0,760,437,323,0,319,197,122,0,125,70,55,0,183,100,83,0,3,1,2,0
,,Arkansas,549,284,265,0,517,264,253,0,455,229,226,0,168,109,59,0,76,40,36,0,68,27,41,0,5,1,4,0
,,California,5987,3516,2471,0,5606,3277,2329,0,4729,2740,1989,0,2180,1359,821,0,892,469,423,0,1193,648,545,0,8,2,6,0
,,Colorado,820,443,377,0,765,415,350,0,661,358,303,0,326,197,129,0,176,90,86,0,127,59,68,0,6,1,5,0
,,Connecticut,566,337,229,0,535,317,218,0,443,262,181,0,228,157,71,0,91,49,42,0,82,54,28,0,1,1,0,0
,,Delaware,283,177,106,0,258,162,96,0,229,140,89,0,103,66,37,0,48,29,19,0,74,43,31,0,6,4,2,0
,,District of Columbia,138,74,64,0,125,66,59,0,109,59,50,0,42,23,19,0,30,13,17,0,26,10,16,0,0,0,0,0
,,Florida,3666,2086,1580,0,3352,1903,1449,0,2858,1603,1255,0,1148,700,448,0,517,256,261,0,633,304,329,0,38,16,22,0
,,Georgia,1682,859,823,0,1449,721,728,0,1378,703,675,0,538,314,224,0,148,80,68,0,290,129,161,0,6,3,3,0
,,Hawaii,271,172,99,0,257,165,92,0,192,116,76,0,22,17,5,0,30,18,12,0,12,4,8,0,0,0,0,0
,,Idaho,234,136,98,0,218,125,93,0,182,111,71,0,77,49,28,0,40,21,19,0,36,24,12,0,0,0,0,0
,,Illinois,2370,1345,1025,0,2198,1246,952,0,1755,966,789,0,755,447,308,0,639,320,319,0,454,217,237,0,8,4,4,0
,,Indiana,1290,696,594,0,1187,635,552,0,1095,587,508,0,503,314,189,0,283,149,134,0,236,113,123,0,24,7,17,0
,,Iowa,482,264,218,0,460,253,207,0,397,211,186,0,176,100,76,0,132,63,69,0,93,31,62,0,2,1,1,0
,,Kansas,643,386,257,0,611,367,244,0,498,284,214,0,235,151,84,0,147,82,65,0,124,66,58,0,3,1,2,0
,,Kentucky,800,464,336,0,746,422,324,0,647,364,283,0,268,171,97,0,138,67,71,0,145,66,79,0,1,0,1,0
,,Louisiana,1032,559,473,0,897,490,407,0,898,490,408,0,303,178,125,0,168,94,74,0,202,97,105,0,3,0,3,0
,,Maine,250,159,91,0,232,150,82,0,185,115,70,0,86,59,27,0,50,32,18,0,32,19,13,0,2,1,1,0
,,Maryland,1199,677,522,0,1090,612,478,0,976,550,426,0,406,227,179,0,298,168,130,0,283,148,135,0,7,4,3,0
,,Massachusetts,1065,623,442,0,994,580,414,0,766,442,324,0,403,242,161,0,180,103,77,0,154,83,71,0,2,1,1,0
,,Michigan,2084,1152,932,0,1931,1066,865,0,1525,832,693,0,670,397,273,0,317,162,155,0,445,211,234,0,12,4,8,0
,,Minnesota,877,481,396,0,830,452,378,0,741,397,344,0,341,199,142,0,398,209,189,0,201,107,94,0,15,8,7,0
,,Mississippi,532,302,230,0,494,277,217,0,409,228,181,0,149,96,53,0,61,32,29,0,69,36,33,0,2,0,2,0
,,Missouri,1315,699,616,0,1166,619,547,0,1045,548,497,0,410,238,172,0,219,110,109,0,293,143,150,0,5,4,1,0
,,Montana,173,96,77,0,165,94,71,0,139,73,66,0,66,43,23,0,32,16,16,0,24,8,16,0,0,0,0,0
,,Nebraska,302,143,159,0,287,136,151,0,265,124,141,0,92,49,43,0,100,48,52,0,47,17,30,0,0,0,0,0
,,Nevada,519,281,238,0,484,260,224,0,416,220,196,0,191,105,86,0,60,38,22,0,101,45,56,0,0,0,0,0
,,New Hampshire,237,137,100,0,224,130,94,0,182,107,75,0,101,62,39,0,46,29,17,0,48,24,24,0,1,1,0,0
,,New Jersey,1523,888,635,0,1426,828,598,0,1144,646,498,0,541,319,222,0,276,147,129,0,219,105,114,0,3,1,2,0
,,New Mexico,351,182,169,0,334,171,163,0,260,126,134,0,113,65,48,0,29,11,18,0,34,16,18,0,2,2,0,0
,,New York,2750,1510,1240,0,2437,1337,1100,0,2213,1182,1031,0,977,583,394,0,444,232,212,0,296,139,157,0,17,8,9,0
,,North Carolina,1592,894,698,0,1482,818,664,0,1238,679,559,0,630,387,243,0,333,176,157,0,341,174,167,0,11,3,8,0
,,North Dakota,117,69,48,0,116,69,47,0,82,45,37,0,45,30,15,0,52,32,20,0,18,8,10,0,2,1,1,0
,,Ohio,2400,1330,1070,0,2213,1211,1002,0,1921,1047,874,0,818,488,330,0,599,306,293,0,460,221,239,0,11,6,5,0
,,Oklahoma,818,434,384,0,749,389,360,0,614,319,295,0,267,155,112,0,61,36,25,0,114,65,49,0,1,1,0,0
,,Oregon,544,292,252,0,524,277,247,0,426,219,207,0,210,115,95,0,85,36,49,0,72,28,44,0,1,0,1,0
,,Pennsylvania,3226,1844,1382,0,2997,1698,1299,0,2596,1473,1123,0,1120,687,433,0,644,326,318,0,588,308,280,0,25,14,11,0
,,Puerto Rico,367,203,164,0,329,178,151,0,289,160,129,0,50,30,20,0,23,14,9,0,49,28,21,0,1,1,0,0
,,Rhode Island,144,72,72,0,135,67,68,0,109,55,54,0,49,25,24,0,32,17,15,0,15,3,12,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,South Carolina,1001,585,416,0,925,534,391,0,846,493,353,0,367,251,116,0,147,86,61,0,195,112,83,0,1,0,1,0
,,South Dakota,138,82,56,0,128,75,53,0,120,69,51,0,49,27,22,0,62,31,31,0,28,14,14,0,1,1,0,0
,,State unassigned,738,432,306,0,701,407,294,0,515,312,203,0,293,199,94,0,138,82,56,0,96,52,44,0,2,1,1,0
,,Tennessee,1417,772,645,0,1273,689,584,0,1181,630,551,0,544,330,214,0,245,123,122,0,255,124,131,0,14,4,10,0
,,Texas,4442,2471,1971,0,4025,2231,1794,0,3439,1871,1568,0,1594,1017,577,0,418,213,205,0,913,445,468,0,9,1,8,0
,,Utah,408,218,190,0,385,208,177,0,308,163,145,0,166,95,71,0,69,37,32,0,60,25,35,0,0,0,0,0
,,Vermont,98,39,59,0,93,36,57,0,70,26,44,0,28,11,17,0,22,9,13,0,17,6,11,0,0,0,0,0
,,Virginia,1300,745,555,0,1230,699,531,0,1045,585,460,0,452,284,168,0,188,103,85,0,248,130,118,0,13,8,5,0
,,Washington,950,527,423,0,918,508,410,0,722,396,326,0,300,174,126,0,166,83,83,0,155,70,85,0,2,0,2,0
,,West Virginia,409,215,194,0,381,197,184,0,342,180,162,0,119,80,39,0,85,40,45,0,64,33,31,0,7,4,3,0
,,Wisconsin,1326,751,575,0,1261,714,547,0,1062,584,478,0,456,277,179,0,554,290,264,0,234,101,133,0,3,2,1,0
,,Wyoming,84,47,37,0,79,44,35,0,68,36,32,0,28,19,9,0,16,8,8,0,10,4,6,0,0,0,0,0
,50-64 Years,All Donor States of Residence,53900,28577,25323,0,49048,25531,23517,0,40577,21055,19522,0,5767,3030,2737,0,2455,1107,1348,0,5892,2654,3238,0,52,25,27,0
,,Alabama,886,457,429,0,779,390,389,0,726,372,354,0,35,22,13,0,10,4,6,0,44,18,26,0,0,0,0,0
,,Alaska,100,57,43,0,97,54,43,0,74,38,36,0,10,5,5,0,2,2,0,0,10,4,6,0,0,0,0,0
,,Arizona,769,407,362,0,722,382,340,0,578,299,279,0,64,39,25,0,13,3,10,0,82,41,41,0,1,1,0,0
,,Arkansas,392,198,194,0,360,179,181,0,327,162,165,0,34,20,14,0,12,9,3,0,38,10,28,0,1,1,0,0
,,California,5692,3111,2581,0,5292,2859,2433,0,4267,2303,1964,0,743,410,333,0,157,68,89,0,764,367,397,0,2,2,0,0
,,Colorado,597,308,289,0,565,286,279,0,434,214,220,0,75,37,38,0,44,16,28,0,48,21,27,0,3,1,2,0
,,Connecticut,487,273,214,0,453,250,203,0,350,186,164,0,73,32,41,0,19,7,12,0,41,26,15,0,0,0,0,0
,,Delaware,263,133,130,0,240,120,120,0,198,99,99,0,36,17,19,0,13,8,5,0,23,9,14,0,0,0,0,0
,,District of Columbia,156,75,81,0,131,57,74,0,119,57,62,0,5,2,3,0,3,1,2,0,14,3,11,0,0,0,0,0
,,Florida,3564,1857,1707,0,3177,1608,1569,0,2685,1387,1298,0,280,145,135,0,76,33,43,0,351,138,213,0,6,1,5,0
,,Georgia,1584,805,779,0,1325,641,684,0,1298,664,634,0,140,78,62,0,12,7,5,0,185,84,101,0,0,0,0,0
,,Hawaii,227,131,96,0,220,128,92,0,163,93,70,0,4,3,1,0,1,1,0,0,4,1,3,0,0,0,0,0
,,Idaho,189,106,83,0,184,102,82,0,136,70,66,0,20,10,10,0,4,1,3,0,18,11,7,0,0,0,0,0
,,Illinois,2513,1387,1126,0,2246,1219,1027,0,1779,950,829,0,234,121,113,0,274,127,147,0,313,160,153,0,7,7,0,0
,,Indiana,963,483,480,0,878,437,441,0,781,378,403,0,124,66,58,0,46,19,27,0,138,56,82,0,0,0,0,0
,,Iowa,457,252,205,0,429,237,192,0,352,191,161,0,65,37,28,0,39,23,16,0,38,13,25,0,0,0,0,0
,,Kansas,524,293,231,0,482,266,216,0,406,225,181,0,56,39,17,0,33,18,15,0,62,30,32,0,1,0,1,0
,,Kentucky,644,345,299,0,602,313,289,0,517,279,238,0,70,34,36,0,34,13,21,0,66,26,40,0,0,0,0,0
,,Louisiana,879,468,411,0,740,384,356,0,776,410,366,0,53,28,25,0,17,7,10,0,93,41,52,0,0,0,0,0
,,Maine,220,124,96,0,213,118,95,0,142,80,62,0,30,17,13,0,16,8,8,0,20,9,11,0,0,0,0,0
,,Maryland,1236,636,600,0,1105,559,546,0,978,503,475,0,110,55,55,0,40,13,27,0,184,85,99,0,3,0,3,0
,,Massachusetts,967,532,435,0,915,495,420,0,634,328,306,0,140,69,71,0,45,24,21,0,87,41,46,0,1,1,0,0
,,Michigan,2040,1076,964,0,1888,986,902,0,1351,696,655,0,224,118,106,0,90,46,44,0,257,105,152,0,1,1,0,0
,,Minnesota,834,452,382,0,797,427,370,0,656,350,306,0,141,73,68,0,167,80,87,0,101,49,52,0,8,4,4,0
,,Mississippi,479,242,237,0,438,216,222,0,373,185,188,0,41,18,23,0,10,4,6,0,38,14,24,0,0,0,0,0
,,Missouri,1293,673,620,0,1135,585,550,0,1041,524,517,0,106,49,57,0,65,25,40,0,173,83,90,0,1,0,1,0
,,Montana,143,61,82,0,139,59,80,0,101,40,61,0,20,6,14,0,8,4,4,0,14,4,10,0,0,0,0,0
,,Nebraska,319,161,158,0,298,150,148,0,246,119,127,0,28,14,14,0,35,16,19,0,34,16,18,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nevada,536,270,266,0,483,239,244,0,415,210,205,0,58,33,25,0,9,3,6,0,48,17,31,0,0,0,0,0
,,New Hampshire,220,109,111,0,207,103,104,0,151,72,79,0,29,11,18,0,12,5,7,0,27,6,21,0,0,0,0,0
,,New Jersey,1593,811,782,0,1465,729,736,0,1172,589,583,0,169,79,90,0,83,37,46,0,131,61,70,0,0,0,0,0
,,New Mexico,282,128,154,0,261,114,147,0,200,91,109,0,27,10,17,0,8,1,7,0,15,6,9,0,0,0,0,0
,,New York,2997,1654,1343,0,2634,1410,1224,0,2250,1212,1038,0,307,174,133,0,103,42,61,0,189,81,108,0,1,0,1,0
,,North Carolina,1478,747,731,0,1354,669,685,0,1050,504,546,0,237,111,126,0,57,24,33,0,219,95,124,0,1,0,1,0
,,North Dakota,94,53,41,0,88,50,38,0,78,42,36,0,11,7,4,0,16,6,10,0,12,5,7,0,1,0,1,0
,,Ohio,2176,1127,1049,0,1995,1013,982,0,1657,841,816,0,222,106,116,0,145,63,82,0,251,96,155,0,2,1,1,0
,,Oklahoma,678,354,324,0,630,332,298,0,477,230,247,0,65,39,26,0,12,7,5,0,44,18,26,0,0,0,0,0
,,Oregon,472,236,236,0,456,227,229,0,374,180,194,0,62,31,31,0,23,12,11,0,32,11,21,0,1,0,1,0
,,Pennsylvania,3450,1920,1530,0,3166,1734,1432,0,2641,1428,1213,0,458,257,201,0,231,104,127,0,391,194,197,0,3,3,0,0
,,Puerto Rico,593,315,278,0,501,254,247,0,446,234,212,0,3,2,1,0,0,0,0,0,44,27,17,0,0,0,0,0
,,Rhode Island,129,71,58,0,123,67,56,0,85,41,44,0,24,11,13,0,9,4,5,0,13,7,6,0,0,0,0,0
,,South Carolina,880,459,421,0,814,423,391,0,741,373,368,0,101,50,51,0,14,8,6,0,116,50,66,0,0,0,0,0
,,South Dakota,113,58,55,0,110,55,55,0,93,48,45,0,13,4,9,0,21,12,9,0,15,5,10,0,1,0,1,0
,,State unassigned,646,325,321,0,602,294,308,0,431,213,218,0,78,37,41,0,38,15,23,0,61,30,31,0,1,1,0,0
,,Tennessee,1147,566,581,0,1020,478,542,0,917,436,481,0,125,55,70,0,44,21,23,0,132,54,78,0,1,1,0,0
,,Texas,3702,1933,1769,0,3256,1656,1600,0,2780,1431,1349,0,304,171,133,0,61,24,37,0,430,202,228,0,0,0,0,0
,,Utah,299,156,143,0,268,141,127,0,210,111,99,0,46,23,23,0,8,4,4,0,21,14,7,0,0,0,0,0
,,Vermont,83,52,31,0,80,50,30,0,53,33,20,0,14,8,6,0,2,1,1,0,10,5,5,0,0,0,0,0
,,Virginia,1221,657,564,0,1149,610,539,0,923,498,425,0,146,76,70,0,39,17,22,0,160,77,83,0,1,0,1,0
,,Washington,811,432,379,0,781,411,370,0,571,303,268,0,106,51,55,0,35,16,19,0,95,36,59,0,1,0,1,0
,,West Virginia,383,184,199,0,353,166,187,0,304,142,162,0,28,11,17,0,34,14,20,0,39,16,23,0,2,0,2,0
,,Wisconsin,1411,813,598,0,1316,758,558,0,1000,558,442,0,161,102,59,0,157,76,81,0,145,72,73,0,1,0,1,0
,,Wyoming,89,44,45,0,86,41,45,0,70,33,37,0,12,7,5,0,9,4,5,0,12,4,8,0,0,0,0,0
,65 +,All Donor States of Residence,15974,7593,8381,0,11938,5487,6451,0,13628,6497,7131,0,126,49,77,0,106,47,59,0,459,186,273,0,6,2,4,0
,,Alabama,214,117,97,0,176,89,87,0,181,99,82,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0
,,Alaska,16,7,9,0,13,5,8,0,13,6,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,,Arizona,229,104,125,0,196,85,111,0,186,86,100,0,0,0,0,0,1,0,1,0,3,1,2,0,0,0,0,0
,,Arkansas,95,41,54,0,73,32,41,0,87,39,48,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0
,,California,1332,624,708,0,1140,514,626,0,1054,492,562,0,20,7,13,0,14,5,9,0,67,25,42,0,0,0,0,0
,,Colorado,127,56,71,0,104,43,61,0,102,45,57,0,3,0,3,0,4,0,4,0,5,2,3,0,0,0,0,0
,,Connecticut,126,51,75,0,105,40,65,0,110,45,65,0,6,1,5,0,0,0,0,0,6,3,3,0,0,0,0,0
,,Delaware,115,56,59,0,91,42,49,0,100,47,53,0,1,1,0,0,1,0,1,0,5,3,2,0,0,0,0,0
,,District of Columbia,49,21,28,0,37,14,23,0,41,18,23,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0
,,Florida,1254,576,678,0,819,374,445,0,1070,496,574,0,3,1,2,0,3,2,1,0,21,8,13,0,1,0,1,0
,,Georgia,464,203,261,0,296,114,182,0,417,178,239,0,0,0,0,0,0,0,0,0,11,2,9,0,0,0,0,0
,,Hawaii,25,7,18,0,25,7,18,0,9,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Idaho,17,8,9,0,14,6,8,0,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Illinois,795,404,391,0,552,269,283,0,649,335,314,0,13,7,6,0,14,7,7,0,30,14,16,0,3,2,1,0
,,Indiana,208,100,108,0,174,80,94,0,182,88,94,0,0,0,0,0,1,0,1,0,10,5,5,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Iowa,101,58,43,0,86,50,36,0,89,48,41,0,2,1,1,0,2,1,1,0,3,1,2,0,0,0,0,0
,,Kansas,169,79,90,0,112,50,62,0,159,73,86,0,0,0,0,0,1,1,0,0,6,1,5,0,0,0,0,0
,,Kentucky,100,46,54,0,85,39,46,0,86,42,44,0,2,0,2,0,3,2,1,0,2,1,1,0,0,0,0,0
,,Louisiana,165,78,87,0,105,44,61,0,151,72,79,0,0,0,0,0,2,1,1,0,5,2,3,0,0,0,0,0
,,Maine,64,34,30,0,55,28,27,0,51,26,25,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
,,Maryland,429,215,214,0,359,171,188,0,355,183,172,0,0,0,0,0,1,0,1,0,16,11,5,0,0,0,0,0
,,Massachusetts,319,165,154,0,273,137,136,0,262,134,128,0,1,0,1,0,1,1,0,0,13,7,6,0,0,0,0,0
,,Michigan,446,205,241,0,356,156,200,0,344,154,190,0,3,2,1,0,1,1,0,0,34,8,26,0,0,0,0,0
,,Minnesota,275,125,150,0,216,95,121,0,240,107,133,0,4,1,3,0,7,2,5,0,5,4,1,0,0,0,0,0
,,Mississippi,126,63,63,0,95,45,50,0,106,57,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Missouri,413,210,203,0,246,119,127,0,393,201,192,0,1,1,0,0,5,4,1,0,15,7,8,0,0,0,0,0
,,Montana,21,8,13,0,16,5,11,0,16,7,9,0,0,0,0,0,1,0,1,0,2,1,1,0,0,0,0,0
,,Nebraska,72,31,41,0,59,23,36,0,63,24,39,0,1,1,0,0,1,1,0,0,2,0,2,0,0,0,0,0
,,Nevada,145,70,75,0,115,52,63,0,132,65,67,0,1,1,0,0,1,1,0,0,8,4,4,0,0,0,0,0
,,New Hampshire,58,31,27,0,50,26,24,0,44,26,18,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
,,New Jersey,495,243,252,0,423,206,217,0,421,206,215,0,3,0,3,0,2,0,2,0,7,4,3,0,0,0,0,0
,,New Mexico,71,33,38,0,57,26,31,0,62,28,34,0,0,0,0,0,1,0,1,0,2,0,2,0,0,0,0,0
,,New York,1487,683,804,0,852,388,464,0,1358,620,738,0,4,1,3,0,6,4,2,0,16,6,10,0,0,0,0,0
,,North Carolina,404,190,214,0,311,139,172,0,330,161,169,0,7,4,3,0,3,1,2,0,24,10,14,0,0,0,0,0
,,North Dakota,33,17,16,0,24,10,14,0,28,15,13,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,,Ohio,529,266,263,0,440,216,224,0,433,218,215,0,10,2,8,0,1,0,1,0,21,5,16,0,0,0,0,0
,,Oklahoma,151,71,80,0,123,54,69,0,124,59,65,0,1,1,0,0,0,0,0,0,4,0,4,0,0,0,0,0
,,Oregon,72,26,46,0,69,24,45,0,67,22,45,0,0,0,0,0,1,0,1,0,2,1,1,0,0,0,0,0
,,Pennsylvania,1495,743,752,0,1211,579,632,0,1289,644,645,0,12,6,6,0,11,5,6,0,32,14,18,0,0,0,0,0
,,Puerto Rico,233,116,117,0,147,67,80,0,202,100,102,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
,,Rhode Island,35,22,13,0,29,19,10,0,27,17,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,,South Carolina,264,116,148,0,214,86,128,0,244,108,136,0,3,2,1,0,1,0,1,0,10,6,4,0,0,0,0,0
,,South Dakota,43,19,24,0,37,16,21,0,42,18,24,0,1,0,1,0,3,1,2,0,3,1,2,0,1,0,1,0
,,State unassigned,195,85,110,0,162,74,88,0,147,66,81,0,2,1,1,0,1,1,0,0,5,3,2,0,0,0,0,0
,,Tennessee,333,151,182,0,269,123,146,0,298,134,164,0,3,1,2,0,1,0,1,0,2,0,2,0,0,0,0,0
,,Texas,1017,472,545,0,577,260,317,0,878,415,463,0,7,4,3,0,2,1,1,0,16,7,9,0,0,0,0,0
,,Utah,49,31,18,0,39,24,15,0,48,31,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Vermont,38,20,18,0,34,18,16,0,34,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Virginia,393,170,223,0,332,141,191,0,334,142,192,0,4,2,2,0,1,1,0,0,11,4,7,0,1,0,1,0
,,Washington,148,65,83,0,127,53,74,0,120,55,65,0,0,0,0,0,1,0,1,0,3,1,2,0,0,0,0,0
,,West Virginia,133,60,73,0,105,47,58,0,119,52,67,0,0,0,0,0,1,0,1,0,3,2,1,0,0,0,0,0
,,Wisconsin,369,189,180,0,297,153,144,0,300,152,148,0,6,0,6,0,2,1,1,0,9,6,3,0,0,0,0,0
,,Wyoming,18,12,6,0,16,10,6,0,17,12,5,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,Unknown,All Donor States of Residence,2,1,1,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,North Carolina,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,State unassigned,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Living Donor,All Ages,All Donor States of Residence,165076,66889,98186,1,157281,63077,94203,1,7210,3462,3748,0,43,20,23,0,72,26,46,0,478,301,177,0,44,23,21,0
,,Alabama,2588,1033,1555,0,2562,1017,1545,0,20,13,7,0,2,1,1,0,1,0,1,0,3,2,1,0,0,0,0,0
,,Alaska,386,161,225,0,375,156,219,0,9,4,5,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,,Arizona,3236,1277,1959,0,3073,1193,1880,0,136,65,71,0,2,1,1,0,0,0,0,0,25,18,7,0,0,0,0,0
,,Arkansas,1065,417,648,0,1033,402,631,0,25,12,13,0,0,0,0,0,1,0,1,0,6,3,3,0,0,0,0,0
,,California,17042,6934,10108,0,16025,6428,9597,0,876,417,459,0,9,4,5,0,1,0,1,0,129,84,45,0,2,1,1,0
,,Colorado,2799,1211,1588,0,2601,1114,1487,0,192,92,100,0,0,0,0,0,0,0,0,0,5,4,1,0,1,1,0,0
,,Connecticut,2095,839,1256,0,1975,783,1192,0,118,54,64,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0
,,Delaware,472,176,296,0,446,164,282,0,26,12,14,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,,District of Columbia,474,219,255,0,453,212,241,0,20,7,13,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,,Florida,6207,2482,3725,0,6055,2412,3643,0,131,63,68,0,1,1,0,0,2,1,1,0,19,5,14,0,0,0,0,0
,,Georgia,4071,1524,2547,0,3971,1486,2485,0,93,34,59,0,1,1,0,0,2,1,1,0,4,2,2,0,0,0,0,0
,,Hawaii,512,217,295,0,494,210,284,0,18,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Idaho,746,292,454,0,718,279,439,0,26,13,13,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Illinois,8361,3526,4835,0,7898,3304,4594,0,438,206,232,0,0,0,0,0,8,3,5,0,6,4,2,0,20,12,8,0
,,Indiana,3159,1238,1921,0,3081,1202,1879,0,66,31,35,0,0,0,0,0,1,0,1,0,8,4,4,0,3,1,2,0
,,Iowa,1876,768,1108,0,1819,740,1079,0,51,25,26,0,0,0,0,0,2,1,1,0,5,3,2,0,1,0,1,0
,,Kansas,1088,431,657,0,1053,408,645,0,30,18,12,0,0,0,0,0,1,0,1,0,5,5,0,0,0,0,0,0
,,Kentucky,1829,706,1123,0,1787,684,1103,0,40,21,19,0,0,0,0,0,2,1,1,0,1,0,1,0,0,0,0,0
,,Louisiana,1906,781,1125,0,1863,757,1106,0,39,22,17,0,0,0,0,0,0,0,0,0,2,1,1,0,2,1,1,0
,,Maine,836,341,495,0,761,300,461,0,65,36,29,0,0,0,0,0,1,0,1,0,10,5,5,0,0,0,0,0
,,Maryland,4371,1714,2657,0,4120,1567,2553,0,248,146,102,0,0,0,0,0,1,0,1,0,3,1,2,0,0,0,0,0
,,Massachusetts,4230,1743,2487,0,3892,1572,2320,0,302,150,152,0,0,0,0,0,1,0,1,0,34,21,13,0,1,0,1,0
,,Michigan,6589,2646,3943,0,6366,2540,3826,0,214,102,112,0,1,0,1,0,0,0,0,0,7,3,4,0,1,1,0,0
,,Minnesota,5078,2147,2931,0,4832,2032,2800,0,225,106,119,0,3,0,3,0,20,8,12,0,11,7,4,0,4,2,2,0
,,Mississippi,1014,393,621,0,978,384,594,0,32,8,24,0,1,0,1,0,0,0,0,0,3,1,2,0,0,0,0,0
,,Missouri,2505,997,1508,0,2439,964,1475,0,62,30,32,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0
,,Montana,560,218,342,0,535,202,333,0,23,14,9,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,,Nebraska,1029,423,606,0,983,399,584,0,40,19,21,0,0,0,0,0,0,0,0,0,6,5,1,0,0,0,0,0
